model,dataset,split,model_dataset,accuracy_improvement,conf_gap_improvement,cot_accuracy,zs_accuracy,cot_conf_gap,zs_conf_gap
Llama-32-1B-Instruct,gsm8k,test,Llama-32-1B-Instruct_gsm8k,-0.007000000000000006,0.003939558674247168,0.48,0.487,0.03677129579822208,0.03283173712397491
Llama-32-3B-Instruct,gsm8k,train,Llama-32-3B-Instruct_gsm8k,-0.0040000000000000036,0.10081619521373983,0.92,0.924,0.1433123727823738,0.04249617756863397
gemma-2-2b-it,gsm8k,test,gemma-2-2b-it_gsm8k,0.020000000000000018,0.06135115357728893,0.663,0.643,0.26142661153507163,0.2000754579577827
Llama-32-3B-Instruct,gsm8k,test,Llama-32-3B-Instruct_gsm8k,0.02299999999999991,0.08709283458917556,0.824,0.801,0.13402000136374095,0.04692716677456539
Meta-Llama-31-8B-Instruct,gsm8k,train,Meta-Llama-31-8B-Instruct_gsm8k,0.0040000000000000036,0.008949567935042035,0.926,0.922,0.24385483993510054,0.2349052720000585
OLMo-2-1124-7B-Instruct,gsm8k,test,OLMo-2-1124-7B-Instruct_gsm8k,-0.0030000000000000027,0.005556449289307985,0.844,0.847,0.2362785236135011,0.23072207432419312
OLMo-2-1124-7B-Instruct,gsm8k,train,OLMo-2-1124-7B-Instruct_gsm8k,0.010000000000000009,-0.03604371057590816,0.915,0.905,0.1892414186449951,0.22528512922090327
gemma-2-9b-it,gsm8k,test,gemma-2-9b-it_gsm8k,-0.0040000000000000036,0.08896509154084509,0.886,0.89,0.21145326466972658,0.1224881731288815
OLMo-2-1124-13B-Instruct,gsm8k,test,OLMo-2-1124-13B-Instruct_gsm8k,0.0030000000000000027,-0.07276585592837503,0.889,0.886,0.10404134749319993,0.17680720342157497
Qwen25-14B-Instruct,gsm8k,train,Qwen25-14B-Instruct_gsm8k,-0.019000000000000017,-0.09198758148654174,0.938,0.957,0.0328892454857409,0.12487682697228264
Qwen25-7B-Instruct,gsm8k,test,Qwen25-7B-Instruct_gsm8k,0.007000000000000006,0.016085610901384606,0.918,0.911,0.23561565802481443,0.21953004712342983
Qwen25-05B-Instruct,gsm8k,test,Qwen25-05B-Instruct_gsm8k,-0.0020000000000000018,-0.004738338596120939,0.407,0.409,0.05086049241005253,0.055598831006173466
Qwen25-05B-Instruct,gsm8k,train,Qwen25-05B-Instruct_gsm8k,-0.039999999999999925,0.008125557061110178,0.529,0.569,0.059380737202438305,0.05125518014132813
Qwen25-3B-Instruct,gsm8k,test,Qwen25-3B-Instruct_gsm8k,0.02400000000000002,-0.039398887206889666,0.853,0.829,0.2604959980080993,0.29989488521498897
gemma-2-9b-it,gsm8k,train,gemma-2-9b-it_gsm8k,0.0050000000000000044,0.08176342403172066,0.917,0.912,0.13991595174101046,0.0581525277092898
Qwen25-14B-Instruct,gsm8k,test,Qwen25-14B-Instruct_gsm8k,-0.0010000000000000009,-0.07307082863948178,0.925,0.926,0.14990096459838254,0.2229717932378643
OLMo-2-1124-13B-Instruct,gsm8k,train,OLMo-2-1124-13B-Instruct_gsm8k,-0.010000000000000009,0.02344089745726652,0.926,0.936,0.16745767717971038,0.14401677972244387
gemma-2-2b-it,gsm8k,train,gemma-2-2b-it_gsm8k,0.008000000000000007,0.0008399632808901991,0.735,0.727,0.22020768102105082,0.21936771774016062
