family,dataset,accuracy_mean,accuracy_std,accuracy_count,mean_conf_correct_mean,mean_conf_correct_std,mean_conf_incorrect_mean,mean_conf_incorrect_std,confidence_gap_mean,confidence_gap_std
Gemma,gsm8k,0.80025,0.12121434183571955,4,0.9644175606466203,0.03287461202284115,0.7561666834049054,0.07930859271755017,0.20825087724171487,0.050499310895236085
Gemma,medmcqa,0.34975,0.1932793746540656,4,0.9295579252165763,0.0653669603367252,0.8728806314057277,0.09998179907603393,0.05667729381084857,0.03558949532347307
Gemma,mmlu,0.43975,0.34974979151768865,4,0.93834000281362,0.057756356475883106,0.8613922678155509,0.06614635945557545,0.07694773499806909,0.013706337730942698
Gemma,simpleqa,0.0385,0.024748737341529162,2,0.7435423653285829,0.01571432023789335,0.6477592554210221,0.11928303866935985,0.09578310990756078,0.1349973589072532
Llama,gsm8k,0.7723333333333334,0.18228512464451585,6,0.4626231893756709,0.13766745366053698,0.31839716537891133,0.1412722700782423,0.14422602399675954,0.09730306172238047
Llama,medmcqa,0.5951666666666667,0.1550514968217549,6,0.422006714490055,0.2427529147180296,0.2976699008680255,0.25953443416672084,0.12433681362202949,0.12878549475913278
Llama,mmlu,0.5548333333333333,0.15025234329842135,6,0.4215430903799687,0.16845884663109928,0.2761038763326915,0.20772465734679063,0.1454392140472772,0.12324585708297478
Llama,simpleqa,0.030666666666666665,0.013868429375143147,3,0.3415025961853136,0.16728743001195523,0.23812867415471176,0.20011911857947481,0.10337392203060188,0.12046849697251352
OLMo,gsm8k,0.8935,0.03646459470043061,4,0.9399986485612886,0.059476666303986424,0.7657439068284368,0.10917136963569823,0.17425474173285163,0.05491712186206799
OLMo,medmcqa,0.4885,0.06661581393833352,4,0.8479028824337821,0.044845835398479146,0.7437361252424859,0.041726201316690505,0.1041667571912962,0.024519263490009168
OLMo,mmlu,0.61375,0.018553975315279497,4,0.8836309355457117,0.058837272122067276,0.7417676087225546,0.09375376897965348,0.14186332682315697,0.03633873166239839
OLMo,simpleqa,0.056999999999999995,0.00848528137423857,2,0.8076329506337403,0.12567009223385264,0.735453206736248,0.09187049998895884,0.07217974389749227,0.0337995922448938
Qwen,gsm8k,0.80125,0.20998554372010605,8,0.9658042480925626,0.04422710759995095,0.822051812436691,0.0751688052082912,0.14375243565587165,0.08949316174718935
Qwen,medmcqa,0.4543333333333333,0.27582143982414903,6,0.8468148373051658,0.17109693413062207,0.7759971004283904,0.19993268495007055,0.07081773687677538,0.038484876666082954
Qwen,mmlu,0.6656666666666666,0.09909120378049034,6,0.9211233942209357,0.07274650799049374,0.7930159303030284,0.10957393997640712,0.1281074639179073,0.042627563075064025
Qwen,simpleqa,0.044333333333333336,0.02122105872319601,3,0.8199156960455364,0.1378937727179844,0.7422207754614266,0.1697413435592257,0.0776949205841098,0.032894867179761034
