family,dataset,accuracy_mean,accuracy_std,accuracy_count,mean_conf_correct_mean,mean_conf_correct_std,mean_conf_incorrect_mean,mean_conf_incorrect_std,confidence_gap_mean,confidence_gap_std
Gemma,gsm8k,0.793,0.12964824205004355,4,0.9661109324628703,0.02933695627060637,0.8160899633288416,0.10246553686138289,0.15002096913402865,0.07418959670852579
Gemma,medmcqa,0.3555,0.19966722314891844,4,0.940745153903572,0.03238045891360896,0.8840368218968584,0.05982577319454589,0.05670833200671366,0.031234654755150953
Gemma,mmlu,0.437,0.3412711531905385,4,0.9790530782091067,0.004225151661418154,0.9224711681215394,0.02513648458345857,0.056581910087567244,0.022277034639534045
Gemma,simpleqa,0.0495,0.006363961030678926,2,0.8841236049836665,0.11680374310409733,0.8002415748321469,0.12606384045967717,0.08388203015151968,0.009260097355579876
Llama,gsm8k,0.7693333333333333,0.1763753573112374,6,0.5120559153374417,0.3305915579427217,0.39281775052432594,0.2382662381079368,0.11923816481311572,0.13075243312133794
Llama,medmcqa,0.588,0.1522366578718805,6,0.5559284959678135,0.3418432602090221,0.44790261749104693,0.3153279889844827,0.10802587847676658,0.11548268964239396
Llama,mmlu,0.5598333333333333,0.16014920126765123,6,0.5181028169441314,0.2600933968566484,0.3547935786287974,0.21524190199445156,0.16330923831533392,0.13300434589416235
Llama,simpleqa,0.029666666666666664,0.012220201853215573,3,0.41144420244224267,0.23455625950081352,0.3475124024090012,0.2645767580575048,0.06393180003324148,0.03431407088924325
OLMo,gsm8k,0.8935,0.0372245438745281,4,0.8139616157977527,0.15781414833314897,0.6197538191254739,0.19756558995214069,0.1942077966722788,0.04131590451917978
OLMo,medmcqa,0.489,0.05385783756025371,4,0.7272406473996079,0.08406566929972406,0.5863826907770748,0.06490671614059108,0.14085795662253311,0.03144104811289779
OLMo,mmlu,0.61275,0.0296802403404465,4,0.8090286438303349,0.06931424745446034,0.6332370584685556,0.10854899131904885,0.17579158536177933,0.04489726163447198
OLMo,simpleqa,0.05,0.0028284271247461853,2,0.7540079789848486,0.11143963234329313,0.708199608661373,0.16330895615823865,0.04580837032347557,0.051869323814945495
Qwen,gsm8k,0.808625,0.20562374619678533,8,0.9300410144234631,0.04761091473836561,0.7490872432290948,0.11774830085839688,0.18095377119436834,0.10471089425683369
Qwen,medmcqa,0.449,0.2791479894249643,6,0.6378059861330835,0.4031667686323589,0.5103573208648896,0.36408220940497255,0.1274486652681939,0.06909611060671074
Qwen,mmlu,0.6761666666666667,0.10878127902661681,6,0.7965321290294956,0.15731099924559355,0.5379618541765409,0.18514502241604724,0.25857027485295464,0.0349725937691231
Qwen,simpleqa,0.03966666666666666,0.01656301099840646,3,0.7214099635387167,0.052100300158557246,0.515940530335122,0.07271361198273962,0.20546943320359465,0.03956825084667805
