model,dataset,split,exp_type,accuracy,mean_conf_correct,mean_conf_incorrect,confidence_gap,n_samples
Llama-32-1B-Instruct,gsm8k,test,cot_exp,0.48,0.5042767637086596,0.4675054679104375,0.03677129579822208,1000
Llama-32-3B-Instruct,gsm8k,train,cot_exp,0.92,0.3030291544700861,0.1597167816877123,0.1433123727823738,1000
gemma-2-2b-it,gsm8k,test,cot_exp,0.663,0.933496156234874,0.6720695446998024,0.26142661153507163,1000
Llama-32-3B-Instruct,gsm8k,test,cot_exp,0.824,0.28101658451508543,0.14699658315134448,0.13402000136374095,1000
Meta-Llama-31-8B-Instruct,gsm8k,train,cot_exp,0.926,0.5952833847255348,0.3514285447904342,0.24385483993510054,1000
OLMo-2-1124-7B-Instruct,gsm8k,test,cot_exp,0.844,0.8874988968590921,0.651220373245591,0.2362785236135011,1000
OLMo-2-1124-7B-Instruct,gsm8k,train,cot_exp,0.915,0.8895029246876138,0.7002615060426187,0.1892414186449951,1000
gemma-2-9b-it,gsm8k,test,cot_exp,0.886,0.9901210579440437,0.7786677932743171,0.21145326466972658,1000
OLMo-2-1124-13B-Instruct,gsm8k,test,cot_exp,0.889,0.9925793108707577,0.8885379633775577,0.10404134749319993,1000
Qwen25-14B-Instruct,gsm8k,train,cot_exp,0.938,0.996418400448293,0.9635291549625521,0.0328892454857409,1000
Qwen25-7B-Instruct,gsm8k,test,cot_exp,0.918,0.9872879742769938,0.7516723162521793,0.23561565802481443,1000
Qwen25-05B-Instruct,gsm8k,test,cot_exp,0.407,0.8928144162571064,0.8419539238470539,0.05086049241005253,1000
Qwen25-05B-Instruct,gsm8k,train,cot_exp,0.529,0.8965734126138619,0.8371926754114236,0.059380737202438305,1000
Qwen25-3B-Instruct,gsm8k,test,cot_exp,0.853,0.9859795404574445,0.7254835424493452,0.2604959980080993,1000
gemma-2-9b-it,gsm8k,train,cot_exp,0.917,0.995414927733924,0.8554989759929136,0.13991595174101046,1000
Qwen25-14B-Instruct,gsm8k,test,cot_exp,0.925,0.9828987638429993,0.8329977992446168,0.14990096459838254,1000
OLMo-2-1124-13B-Instruct,gsm8k,train,cot_exp,0.926,0.9904134618276904,0.82295578464798,0.16745767717971038,1000
gemma-2-2b-it,gsm8k,train,cot_exp,0.735,0.9386381006736394,0.7184304196525886,0.22020768102105082,1000
Meta-Llama-31-8B-Instruct,gsm8k,test,cot_exp,0.866,0.5851246753951098,0.31832735204972296,0.26679732334538686,1000
Llama-32-1B-Instruct,gsm8k,train,cot_exp,0.618,0.5070085734395493,0.46640826268381635,0.04060031075573295,1000
Qwen25-3B-Instruct,gsm8k,train,cot_exp,0.903,0.9860228923411226,0.7654123612226361,0.2206105311184865,1000
Qwen25-7B-Instruct,gsm8k,train,cot_exp,0.937,0.9984385845026795,0.858172726103721,0.14026585839895855,1000
gemma-2-2b-it,gsm8k,test,zs_exp,0.643,0.9403603724311071,0.7402849144733245,0.2000754579577827,1000
gemma-2-9b-it,gsm8k,test,zs_exp,0.89,0.9890230060566844,0.8665348329278029,0.1224881731288815,1000
Llama-32-1B-Instruct,gsm8k,test,zs_exp,0.487,0.5168126097988651,0.4839808726748902,0.03283173712397491,1000
Llama-32-3B-Instruct,gsm8k,test,zs_exp,0.801,0.13746908384633602,0.09054191707177063,0.04692716677456539,1000
Meta-Llama-31-8B-Instruct,gsm8k,test,zs_exp,0.855,0.8699376098959491,0.5385818546419531,0.3313557552539961,1000
OLMo-2-1124-13B-Instruct,gsm8k,test,zs_exp,0.886,0.9462608980523931,0.7694536946308181,0.17680720342157497,1000
OLMo-2-1124-7B-Instruct,gsm8k,test,zs_exp,0.847,0.6636376288261217,0.43291555450192853,0.23072207432419312,1000
Qwen25-05B-Instruct,gsm8k,test,zs_exp,0.409,0.8884909703175292,0.8328921393113558,0.055598831006173466,1000
Qwen25-3B-Instruct,gsm8k,test,zs_exp,0.829,0.8688622831711404,0.5689673979561515,0.29989488521498897,1000
Qwen25-14B-Instruct,gsm8k,test,zs_exp,0.926,0.9516370559047455,0.7286652626668811,0.2229717932378643,1000
Qwen25-7B-Instruct,gsm8k,test,zs_exp,0.911,0.977100086727662,0.7575700396042322,0.21953004712342983,1000
Llama-32-1B-Instruct,gsm8k,train,zs_exp,0.627,0.5166599511461809,0.48974707098871545,0.026912880157465457,1000
gemma-2-2b-it,gsm8k,train,zs_exp,0.727,0.9411683846887863,0.7218006669486257,0.21936771774016062,1000
gemma-2-9b-it,gsm8k,train,zs_exp,0.912,0.9938919666749034,0.9357394389656136,0.0581525277092898,1000
Meta-Llama-31-8B-Instruct,gsm8k,train,zs_exp,0.922,0.8885474420988068,0.6536421700987483,0.2349052720000585,1000
Llama-32-3B-Instruct,gsm8k,train,zs_exp,0.924,0.14290879523851185,0.10041261766987788,0.04249617756863397,1000
OLMo-2-1124-13B-Instruct,gsm8k,train,zs_exp,0.936,0.9542238636002901,0.8102070838778462,0.14401677972244387,1000
Qwen25-05B-Instruct,gsm8k,train,zs_exp,0.569,0.8871652830841205,0.8359101029427923,0.05125518014132813,1000
OLMo-2-1124-7B-Instruct,gsm8k,train,zs_exp,0.905,0.6917240727122059,0.46643894349130266,0.22528512922090327,1000
Qwen25-14B-Instruct,gsm8k,train,zs_exp,0.957,0.9763197042762044,0.8514428773039218,0.12487682697228264,1000
Qwen25-3B-Instruct,gsm8k,train,zs_exp,0.915,0.904959696660164,0.5748193433352887,0.33014035332487524,1000
Qwen25-7B-Instruct,gsm8k,train,zs_exp,0.953,0.985793035246139,0.8424307827121349,0.14336225253400414,1000
