model,dataset,split,exp_type,accuracy,mean_conf_correct,mean_conf_incorrect,confidence_gap,n_samples
gemma-2-2b-it,medmcqa,train,cot_exp,0.192,0.863896750539645,0.7842787458644062,0.07961800467523883,1000
gemma-2-9b-it,medmcqa,train,cot_exp,0.565,0.985779014163168,0.9609178603911244,0.024861153772043676,1000
Llama-32-1B-Instruct,medmcqa,train,cot_exp,0.531,0.6521442904510326,0.6199677571572345,0.032176533293798104,1000
Llama-32-3B-Instruct,medmcqa,train,cot_exp,0.73,0.14285448616342353,0.07103862986906814,0.07181585629435538,1000
Meta-Llama-31-8B-Instruct,medmcqa,train,cot_exp,0.804,0.5250919997917393,0.21085911409986646,0.3142328856918728,1000
OLMo-2-1124-13B-Instruct,medmcqa,train,cot_exp,0.572,0.886271892513939,0.7471853317236161,0.1390865607903229,1000
OLMo-2-1124-7B-Instruct,medmcqa,train,cot_exp,0.484,0.7963440839477597,0.7052545290108273,0.09108955493693238,1000
Qwen25-3B-Instruct,medmcqa,train,cot_exp,0.104,0.5932036018141205,0.5126440748800725,0.080559526934048,1000
Qwen25-14B-Instruct,medmcqa,train,cot_exp,0.724,0.9335166587101295,0.8504700683023955,0.08304659040773399,1000
Qwen25-7B-Instruct,medmcqa,train,cot_exp,0.618,0.9659472933214931,0.9378999881519522,0.028047305169540904,1000
gemma-2-2b-it,medmcqa,validation,cot_exp,0.181,0.8827912698025018,0.788345292856479,0.09444597694602275,1000
gemma-2-9b-it,medmcqa,validation,cot_exp,0.461,0.9857646663609904,0.9579806265109013,0.027784039850089037,1000
Llama-32-1B-Instruct,medmcqa,validation,cot_exp,0.366,0.6488385345855543,0.6262319181649386,0.022606616420615677,1000
Llama-32-3B-Instruct,medmcqa,validation,cot_exp,0.554,0.10517057810606434,0.06136488248454943,0.04380569562151491,1000
Meta-Llama-31-8B-Instruct,medmcqa,validation,cot_exp,0.586,0.45794039784251594,0.1965571034324959,0.26138329441002006,1000
OLMo-2-1124-13B-Instruct,medmcqa,validation,cot_exp,0.489,0.8846305740741687,0.8007292956177844,0.08390127845638429,1000
OLMo-2-1124-7B-Instruct,medmcqa,validation,cot_exp,0.409,0.824364979199261,0.7217753446177158,0.10258963458154524,1000
Qwen25-14B-Instruct,medmcqa,validation,cot_exp,0.628,0.9475516397783368,0.8788386818236555,0.06871295795468124,1000
Qwen25-7B-Instruct,medmcqa,validation,cot_exp,0.544,0.9765272992546088,0.9445808906583683,0.03194640859624054,1000
Qwen25-3B-Instruct,medmcqa,validation,cot_exp,0.108,0.6641425309523065,0.5315488987538989,0.13259363219840758,1000
gemma-2-2b-it,medmcqa,train,zs_exp,0.192,0.9155403004592216,0.8603071523255453,0.0552331481336763,1000
gemma-2-9b-it,medmcqa,train,zs_exp,0.573,0.9718297343880345,0.9239429841771948,0.04788675021083977,1000
Llama-32-1B-Instruct,medmcqa,train,zs_exp,0.494,0.7774401317308305,0.7532751240533522,0.024165007677478312,1000
Llama-32-3B-Instruct,medmcqa,train,zs_exp,0.727,0.12640065675158507,0.07149887609135977,0.0549017806602253,1000
Meta-Llama-31-8B-Instruct,medmcqa,train,zs_exp,0.785,0.7982861277426648,0.5119552279836672,0.2863308997589976,1000
OLMo-2-1124-13B-Instruct,medmcqa,train,zs_exp,0.559,0.7936684609726344,0.6355918998830515,0.1580765610895829,1000
Qwen25-14B-Instruct,medmcqa,train,zs_exp,0.688,0.8887586746980601,0.6713041186422217,0.2174545560558384,1000
OLMo-2-1124-7B-Instruct,medmcqa,train,zs_exp,0.48,0.6747088897483384,0.5188929932416554,0.15581589650668304,1000
Qwen25-3B-Instruct,medmcqa,train,zs_exp,0.095,0.09157012608010626,0.049615809334724696,0.04195431674538156,1000
Qwen25-7B-Instruct,medmcqa,train,zs_exp,0.655,0.9240274396701031,0.8292830883709355,0.0947443512991677,1000
gemma-2-2b-it,medmcqa,validation,zs_exp,0.18,0.9101768541059376,0.8109449950606343,0.0992318590453033,1000
gemma-2-9b-it,medmcqa,validation,zs_exp,0.477,0.9654337266610946,0.9409521560240593,0.024481570637035266,1000
Llama-32-1B-Instruct,medmcqa,validation,zs_exp,0.371,0.7735455245814631,0.7590311389326779,0.014514385648785155,1000
Llama-32-3B-Instruct,medmcqa,validation,zs_exp,0.548,0.10369278980298804,0.05596386887706497,0.047728920925923075,1000
Meta-Llama-31-8B-Instruct,medmcqa,validation,zs_exp,0.603,0.7562057451973493,0.5356914690081593,0.22051427618918995,1000
OLMo-2-1124-13B-Instruct,medmcqa,validation,zs_exp,0.489,0.803756144709703,0.6479402591203615,0.15581588558934156,1000
OLMo-2-1124-7B-Instruct,medmcqa,validation,zs_exp,0.428,0.6368290941677557,0.5431056108632307,0.09372348330452496,1000
Qwen25-14B-Instruct,medmcqa,validation,zs_exp,0.625,0.8631554642022715,0.6576433654758795,0.20551209872639198,1000
Qwen25-3B-Instruct,medmcqa,validation,zs_exp,0.094,0.14542842416796264,0.048111494865783005,0.09731692930217964,1000
Qwen25-7B-Instruct,medmcqa,validation,zs_exp,0.537,0.913895787979997,0.8061860484997928,0.10770973948020424,1000
