model,dataset,split,exp_type,accuracy,mean_conf_correct,mean_conf_incorrect,confidence_gap,n_samples
gemma-2-2b-it,mmlu,test,cot_exp,0.127,0.888513730073948,0.8180893468102712,0.07042438326367673,1000
Llama-32-1B-Instruct,mmlu,test,cot_exp,0.371,0.5659598712241711,0.5422474863596184,0.023712384864552738,1000
gemma-2-9b-it,mmlu,test,cot_exp,0.734,0.9868954690313804,0.9099442365912324,0.07695123244014801,1000
Llama-32-3B-Instruct,mmlu,test,cot_exp,0.566,0.20987990397444492,0.09564212158156887,0.11423778239287605,1000
Meta-Llama-31-8B-Instruct,mmlu,test,cot_exp,0.707,0.4956217062295922,0.17892593160107348,0.3166957746285187,1000
OLMo-2-1124-13B-Instruct,mmlu,test,cot_exp,0.638,0.9358844720452754,0.8132611038924592,0.12262336815281616,1000
OLMo-2-1124-7B-Instruct,mmlu,test,cot_exp,0.61,0.827587025501673,0.6423617252263705,0.18522530027530248,1000
Qwen25-14B-Instruct,mmlu,test,cot_exp,0.72,0.9657520068978946,0.818198394415292,0.14755361248260268,1000
Qwen25-3B-Instruct,mmlu,test,cot_exp,0.533,0.8208491876423812,0.6696504477970897,0.15119873984529153,1000
Qwen25-7B-Instruct,mmlu,test,cot_exp,0.737,0.9632176833234024,0.8741456669040382,0.08907201641936424,1000
gemma-2-2b-it,mmlu,validation,cot_exp,0.147,0.8881507471443502,0.7921351328572187,0.09601561428713146,1000
gemma-2-9b-it,mmlu,validation,cot_exp,0.751,0.9898000650048014,0.9254003550034813,0.06439971000132017,1000
Llama-32-1B-Instruct,mmlu,validation,cot_exp,0.38,0.5691702384446847,0.5348586817447076,0.0343115566999771,1000
Llama-32-3B-Instruct,mmlu,validation,cot_exp,0.597,0.20825434111012014,0.1005959982862523,0.10765834282386784,1000
Meta-Llama-31-8B-Instruct,mmlu,validation,cot_exp,0.708,0.48037248129679905,0.2043530384229283,0.27601944287387076,1000
OLMo-2-1124-7B-Instruct,mmlu,validation,cot_exp,0.593,0.8380554030440656,0.681605966444774,0.15644943659929156,1000
OLMo-2-1124-13B-Instruct,mmlu,validation,cot_exp,0.614,0.9329968415918327,0.829841639326615,0.10315520226521768,1000
Qwen25-14B-Instruct,mmlu,validation,cot_exp,0.73,0.9693913584559294,0.8718637147768564,0.09752764367907296,1000
Qwen25-3B-Instruct,mmlu,validation,cot_exp,0.543,0.8340897683715887,0.6407293151802538,0.19336045319133488,1000
Qwen25-7B-Instruct,mmlu,validation,cot_exp,0.731,0.9734403606344177,0.8835080427446401,0.08993231788977762,1000
gemma-2-2b-it,mmlu,test,zs_exp,0.14,0.9780515351747953,0.9363528148410865,0.041698720333708805,1000
gemma-2-9b-it,mmlu,test,zs_exp,0.725,0.9801873058504813,0.9044134155617635,0.07577389028871784,1000
Llama-32-1B-Instruct,mmlu,test,zs_exp,0.37,0.5741853972825413,0.5353326844753881,0.03885271280715319,1000
Llama-32-3B-Instruct,mmlu,test,zs_exp,0.588,0.21014316114902484,0.08109035859598852,0.1290528025530363,1000
Meta-Llama-31-8B-Instruct,mmlu,test,zs_exp,0.735,0.7791581603293136,0.44198511031717935,0.33717305001213427,1000
OLMo-2-1124-13B-Instruct,mmlu,test,zs_exp,0.646,0.877486741332065,0.7297273344520829,0.147759406879982,1000
OLMo-2-1124-7B-Instruct,mmlu,test,zs_exp,0.605,0.7554770052508233,0.5181280408803858,0.2373489643704375,1000
Qwen25-14B-Instruct,mmlu,test,zs_exp,0.757,0.9111863498782716,0.6604633675883979,0.2507229822898738,1000
Qwen25-3B-Instruct,mmlu,test,zs_exp,0.519,0.61343331609642,0.29395766978579635,0.3194756463106237,1000
Qwen25-7B-Instruct,mmlu,test,zs_exp,0.744,0.8923328888236606,0.6368626469928408,0.2554702418308198,1000
gemma-2-2b-it,mmlu,validation,zs_exp,0.143,0.9840492133767073,0.9507128641769089,0.03333634919979833,1000
gemma-2-9b-it,mmlu,validation,zs_exp,0.74,0.9739242584344429,0.8984055779063989,0.075518680528044,1000
Llama-32-1B-Instruct,mmlu,validation,zs_exp,0.377,0.5664877126743071,0.528286013764627,0.03820169890968006,1000
Llama-32-3B-Instruct,mmlu,validation,zs_exp,0.564,0.19939821026395949,0.08076526067146651,0.11863294959249297,1000
Meta-Llama-31-8B-Instruct,mmlu,validation,zs_exp,0.725,0.7792442599656418,0.46130204394813507,0.3179422160175068,1000
OLMo-2-1124-13B-Instruct,mmlu,validation,zs_exp,0.624,0.8596615759467804,0.7219657672503254,0.13769580869645504,1000
OLMo-2-1124-7B-Instruct,mmlu,validation,zs_exp,0.576,0.743489252791671,0.5631270912914282,0.18036216150024276,1000
Qwen25-14B-Instruct,mmlu,validation,zs_exp,0.752,0.906082066313251,0.6921759220912674,0.2139061442219835,1000
Qwen25-7B-Instruct,mmlu,validation,zs_exp,0.73,0.8805788660965038,0.6374199478450988,0.243158918251405,1000
Qwen25-3B-Instruct,mmlu,validation,zs_exp,0.555,0.5755792869688661,0.3068915707558441,0.26868771621302195,1000
