model,dataset,split,exp_type,accuracy,mean_conf_correct,mean_conf_incorrect,confidence_gap,n_samples
gemma-2-2b-it,simpleqa,test,cot_exp,0.021,0.7324306629266314,0.7321051009446635,0.0003255619819678701,1000
gemma-2-9b-it,simpleqa,test,cot_exp,0.056,0.7546540677305342,0.5634134098973805,0.1912406578331537,1000
Llama-32-3B-Instruct,simpleqa,test,cot_exp,0.019,0.15100010474894685,0.07894718958980348,0.07205291515914336,1000
Llama-32-1B-Instruct,simpleqa,test,cot_exp,0.027,0.4644429156945717,0.46278355001197413,0.0016593656825975578,1000
Meta-Llama-31-8B-Instruct,simpleqa,test,cot_exp,0.046,0.40906476811242237,0.17265528286235765,0.23640948525006472,1000
OLMo-2-1124-13B-Instruct,simpleqa,test,cot_exp,0.063,0.8964951250446365,0.8004154602694395,0.09607966477519692,1000
Qwen25-14B-Instruct,simpleqa,test,cot_exp,0.068,0.6743575585948428,0.5590298486968566,0.11532770989798624,1000
OLMo-2-1124-7B-Instruct,simpleqa,test,cot_exp,0.051,0.7187707762228442,0.6704909532030566,0.048279823019787615,1000
Qwen25-3B-Instruct,simpleqa,test,cot_exp,0.027,0.8367992012545103,0.7734594912785508,0.0633397099759595,1000
Qwen25-7B-Instruct,simpleqa,test,cot_exp,0.038,0.9485903282872561,0.8941729864088724,0.05441734187838365,1000
gemma-2-2b-it,simpleqa,test,zs_exp,0.045,0.8015308861667879,0.7111009783806901,0.09042990778609783,1000
gemma-2-9b-it,simpleqa,test,zs_exp,0.054,0.9667163238005452,0.8893821712836036,0.07733415251694153,1000
Llama-32-1B-Instruct,simpleqa,test,zs_exp,0.019,0.6547425171746837,0.6123887928843391,0.04235372429034456,1000
Llama-32-3B-Instruct,simpleqa,test,zs_exp,0.027,0.18673638989714586,0.08323629824227394,0.10350009165487192,1000
Meta-Llama-31-8B-Instruct,simpleqa,test,zs_exp,0.043,0.39285370025489846,0.3469121161003905,0.04594158415450794,1000
OLMo-2-1124-13B-Instruct,simpleqa,test,zs_exp,0.048,0.6752082592619703,0.5927227383333858,0.08248552092858441,1000
OLMo-2-1124-7B-Instruct,simpleqa,test,zs_exp,0.052,0.8328076987077269,0.8236764789893601,0.009131219718366723,1000
Qwen25-14B-Instruct,simpleqa,test,zs_exp,0.057,0.695641558184603,0.44535623680070724,0.2502853213838958,1000
Qwen25-3B-Instruct,simpleqa,test,zs_exp,0.024,0.6872151555980753,0.5118542249074792,0.1753609306905961,1000
Qwen25-7B-Instruct,simpleqa,test,zs_exp,0.038,0.7813731768334715,0.5906111292971795,0.190762047536292,1000
