model,dataset,split,exp_type,accuracy,mean_conf_correct,mean_conf_incorrect,confidence_gap,n_samples,family
Llama-32-1B-Instruct,gsm8k,test,cot_exp,0.48,0.5042767637086596,0.4675054679104375,0.03677129579822208,1000,Llama
Llama-32-3B-Instruct,gsm8k,train,cot_exp,0.92,0.3030291544700861,0.1597167816877123,0.1433123727823738,1000,Llama
gemma-2-2b-it,gsm8k,test,cot_exp,0.663,0.933496156234874,0.6720695446998024,0.26142661153507163,1000,Gemma
Llama-32-3B-Instruct,gsm8k,test,cot_exp,0.824,0.28101658451508543,0.14699658315134448,0.13402000136374095,1000,Llama
Meta-Llama-31-8B-Instruct,gsm8k,train,cot_exp,0.926,0.5952833847255348,0.3514285447904342,0.24385483993510054,1000,Llama
OLMo-2-1124-7B-Instruct,gsm8k,test,cot_exp,0.844,0.8874988968590921,0.651220373245591,0.2362785236135011,1000,OLMo
OLMo-2-1124-7B-Instruct,gsm8k,train,cot_exp,0.915,0.8895029246876138,0.7002615060426187,0.1892414186449951,1000,OLMo
gemma-2-9b-it,gsm8k,test,cot_exp,0.886,0.9901210579440437,0.7786677932743171,0.21145326466972658,1000,Gemma
OLMo-2-1124-13B-Instruct,gsm8k,test,cot_exp,0.889,0.9925793108707577,0.8885379633775577,0.10404134749319993,1000,OLMo
Qwen25-14B-Instruct,gsm8k,train,cot_exp,0.938,0.996418400448293,0.9635291549625521,0.0328892454857409,1000,Qwen
Qwen25-7B-Instruct,gsm8k,test,cot_exp,0.918,0.9872879742769938,0.7516723162521793,0.23561565802481443,1000,Qwen
Qwen25-05B-Instruct,gsm8k,test,cot_exp,0.407,0.8928144162571064,0.8419539238470539,0.05086049241005253,1000,Qwen
Qwen25-05B-Instruct,gsm8k,train,cot_exp,0.529,0.8965734126138619,0.8371926754114236,0.059380737202438305,1000,Qwen
Qwen25-3B-Instruct,gsm8k,test,cot_exp,0.853,0.9859795404574445,0.7254835424493452,0.2604959980080993,1000,Qwen
gemma-2-9b-it,gsm8k,train,cot_exp,0.917,0.995414927733924,0.8554989759929136,0.13991595174101046,1000,Gemma
Qwen25-14B-Instruct,gsm8k,test,cot_exp,0.925,0.9828987638429993,0.8329977992446168,0.14990096459838254,1000,Qwen
OLMo-2-1124-13B-Instruct,gsm8k,train,cot_exp,0.926,0.9904134618276904,0.82295578464798,0.16745767717971038,1000,OLMo
gemma-2-2b-it,gsm8k,train,cot_exp,0.735,0.9386381006736394,0.7184304196525886,0.22020768102105082,1000,Gemma
Meta-Llama-31-8B-Instruct,gsm8k,test,cot_exp,0.866,0.5851246753951098,0.31832735204972296,0.26679732334538686,1000,Llama
Llama-32-1B-Instruct,gsm8k,train,cot_exp,0.618,0.5070085734395493,0.46640826268381635,0.04060031075573295,1000,Llama
Qwen25-3B-Instruct,gsm8k,train,cot_exp,0.903,0.9860228923411226,0.7654123612226361,0.2206105311184865,1000,Qwen
Qwen25-7B-Instruct,gsm8k,train,cot_exp,0.937,0.9984385845026795,0.858172726103721,0.14026585839895855,1000,Qwen
gemma-2-2b-it,medmcqa,train,cot_exp,0.192,0.863896750539645,0.7842787458644062,0.07961800467523883,1000,Gemma
gemma-2-9b-it,medmcqa,train,cot_exp,0.565,0.985779014163168,0.9609178603911244,0.024861153772043676,1000,Gemma
Llama-32-1B-Instruct,medmcqa,train,cot_exp,0.531,0.6521442904510326,0.6199677571572345,0.032176533293798104,1000,Llama
Llama-32-3B-Instruct,medmcqa,train,cot_exp,0.73,0.14285448616342353,0.07103862986906814,0.07181585629435538,1000,Llama
Meta-Llama-31-8B-Instruct,medmcqa,train,cot_exp,0.804,0.5250919997917393,0.21085911409986646,0.3142328856918728,1000,Llama
OLMo-2-1124-13B-Instruct,medmcqa,train,cot_exp,0.572,0.886271892513939,0.7471853317236161,0.1390865607903229,1000,OLMo
OLMo-2-1124-7B-Instruct,medmcqa,train,cot_exp,0.484,0.7963440839477597,0.7052545290108273,0.09108955493693238,1000,OLMo
Qwen25-3B-Instruct,medmcqa,train,cot_exp,0.104,0.5932036018141205,0.5126440748800725,0.080559526934048,1000,Qwen
Qwen25-14B-Instruct,medmcqa,train,cot_exp,0.724,0.9335166587101295,0.8504700683023955,0.08304659040773399,1000,Qwen
Qwen25-7B-Instruct,medmcqa,train,cot_exp,0.618,0.9659472933214931,0.9378999881519522,0.028047305169540904,1000,Qwen
gemma-2-2b-it,medmcqa,validation,cot_exp,0.181,0.8827912698025018,0.788345292856479,0.09444597694602275,1000,Gemma
gemma-2-9b-it,medmcqa,validation,cot_exp,0.461,0.9857646663609904,0.9579806265109013,0.027784039850089037,1000,Gemma
Llama-32-1B-Instruct,medmcqa,validation,cot_exp,0.366,0.6488385345855543,0.6262319181649386,0.022606616420615677,1000,Llama
Llama-32-3B-Instruct,medmcqa,validation,cot_exp,0.554,0.10517057810606434,0.06136488248454943,0.04380569562151491,1000,Llama
Meta-Llama-31-8B-Instruct,medmcqa,validation,cot_exp,0.586,0.45794039784251594,0.1965571034324959,0.26138329441002006,1000,Llama
OLMo-2-1124-13B-Instruct,medmcqa,validation,cot_exp,0.489,0.8846305740741687,0.8007292956177844,0.08390127845638429,1000,OLMo
OLMo-2-1124-7B-Instruct,medmcqa,validation,cot_exp,0.409,0.824364979199261,0.7217753446177158,0.10258963458154524,1000,OLMo
Qwen25-14B-Instruct,medmcqa,validation,cot_exp,0.628,0.9475516397783368,0.8788386818236555,0.06871295795468124,1000,Qwen
gemma-2-2b-it,mmlu,test,cot_exp,0.127,0.888513730073948,0.8180893468102712,0.07042438326367673,1000,Gemma
Qwen25-7B-Instruct,medmcqa,validation,cot_exp,0.544,0.9765272992546088,0.9445808906583683,0.03194640859624054,1000,Qwen
Qwen25-3B-Instruct,medmcqa,validation,cot_exp,0.108,0.6641425309523065,0.5315488987538989,0.13259363219840758,1000,Qwen
Llama-32-1B-Instruct,mmlu,test,cot_exp,0.371,0.5659598712241711,0.5422474863596184,0.023712384864552738,1000,Llama
gemma-2-9b-it,mmlu,test,cot_exp,0.734,0.9868954690313804,0.9099442365912324,0.07695123244014801,1000,Gemma
Llama-32-3B-Instruct,mmlu,test,cot_exp,0.566,0.20987990397444492,0.09564212158156887,0.11423778239287605,1000,Llama
Meta-Llama-31-8B-Instruct,mmlu,test,cot_exp,0.707,0.4956217062295922,0.17892593160107348,0.3166957746285187,1000,Llama
OLMo-2-1124-13B-Instruct,mmlu,test,cot_exp,0.638,0.9358844720452754,0.8132611038924592,0.12262336815281616,1000,OLMo
OLMo-2-1124-7B-Instruct,mmlu,test,cot_exp,0.61,0.827587025501673,0.6423617252263705,0.18522530027530248,1000,OLMo
Qwen25-14B-Instruct,mmlu,test,cot_exp,0.72,0.9657520068978946,0.818198394415292,0.14755361248260268,1000,Qwen
