model,dataset,split,exp_type,accuracy,mean_conf_correct,mean_conf_incorrect,confidence_gap,n_samples,family
gemma-2-2b-it,gsm8k,test,zs_exp,0.643,0.9403603724311071,0.7402849144733245,0.2000754579577827,1000,Gemma
gemma-2-9b-it,gsm8k,test,zs_exp,0.89,0.9890230060566844,0.8665348329278029,0.1224881731288815,1000,Gemma
Llama-32-1B-Instruct,gsm8k,test,zs_exp,0.487,0.5168126097988651,0.4839808726748902,0.03283173712397491,1000,Llama
Llama-32-3B-Instruct,gsm8k,test,zs_exp,0.801,0.13746908384633602,0.09054191707177063,0.04692716677456539,1000,Llama
Meta-Llama-31-8B-Instruct,gsm8k,test,zs_exp,0.855,0.8699376098959491,0.5385818546419531,0.3313557552539961,1000,Llama
OLMo-2-1124-13B-Instruct,gsm8k,test,zs_exp,0.886,0.9462608980523931,0.7694536946308181,0.17680720342157497,1000,OLMo
OLMo-2-1124-7B-Instruct,gsm8k,test,zs_exp,0.847,0.6636376288261217,0.43291555450192853,0.23072207432419312,1000,OLMo
Qwen25-05B-Instruct,gsm8k,test,zs_exp,0.409,0.8884909703175292,0.8328921393113558,0.055598831006173466,1000,Qwen
Qwen25-3B-Instruct,gsm8k,test,zs_exp,0.829,0.8688622831711404,0.5689673979561515,0.29989488521498897,1000,Qwen
Qwen25-14B-Instruct,gsm8k,test,zs_exp,0.926,0.9516370559047455,0.7286652626668811,0.2229717932378643,1000,Qwen
Qwen25-7B-Instruct,gsm8k,test,zs_exp,0.911,0.977100086727662,0.7575700396042322,0.21953004712342983,1000,Qwen
Llama-32-1B-Instruct,gsm8k,train,zs_exp,0.627,0.5166599511461809,0.48974707098871545,0.026912880157465457,1000,Llama
gemma-2-2b-it,gsm8k,train,zs_exp,0.727,0.9411683846887863,0.7218006669486257,0.21936771774016062,1000,Gemma
gemma-2-9b-it,gsm8k,train,zs_exp,0.912,0.9938919666749034,0.9357394389656136,0.0581525277092898,1000,Gemma
Meta-Llama-31-8B-Instruct,gsm8k,train,zs_exp,0.922,0.8885474420988068,0.6536421700987483,0.2349052720000585,1000,Llama
Llama-32-3B-Instruct,gsm8k,train,zs_exp,0.924,0.14290879523851185,0.10041261766987788,0.04249617756863397,1000,Llama
OLMo-2-1124-13B-Instruct,gsm8k,train,zs_exp,0.936,0.9542238636002901,0.8102070838778462,0.14401677972244387,1000,OLMo
Qwen25-05B-Instruct,gsm8k,train,zs_exp,0.569,0.8871652830841205,0.8359101029427923,0.05125518014132813,1000,Qwen
OLMo-2-1124-7B-Instruct,gsm8k,train,zs_exp,0.905,0.6917240727122059,0.46643894349130266,0.22528512922090327,1000,OLMo
Qwen25-14B-Instruct,gsm8k,train,zs_exp,0.957,0.9763197042762044,0.8514428773039218,0.12487682697228264,1000,Qwen
Qwen25-3B-Instruct,gsm8k,train,zs_exp,0.915,0.904959696660164,0.5748193433352887,0.33014035332487524,1000,Qwen
gemma-2-2b-it,medmcqa,train,zs_exp,0.192,0.9155403004592216,0.8603071523255453,0.0552331481336763,1000,Gemma
Qwen25-7B-Instruct,gsm8k,train,zs_exp,0.953,0.985793035246139,0.8424307827121349,0.14336225253400414,1000,Qwen
gemma-2-9b-it,medmcqa,train,zs_exp,0.573,0.9718297343880345,0.9239429841771948,0.04788675021083977,1000,Gemma
Llama-32-1B-Instruct,medmcqa,train,zs_exp,0.494,0.7774401317308305,0.7532751240533522,0.024165007677478312,1000,Llama
Llama-32-3B-Instruct,medmcqa,train,zs_exp,0.727,0.12640065675158507,0.07149887609135977,0.0549017806602253,1000,Llama
Meta-Llama-31-8B-Instruct,medmcqa,train,zs_exp,0.785,0.7982861277426648,0.5119552279836672,0.2863308997589976,1000,Llama
OLMo-2-1124-13B-Instruct,medmcqa,train,zs_exp,0.559,0.7936684609726344,0.6355918998830515,0.1580765610895829,1000,OLMo
Qwen25-14B-Instruct,medmcqa,train,zs_exp,0.688,0.8887586746980601,0.6713041186422217,0.2174545560558384,1000,Qwen
OLMo-2-1124-7B-Instruct,medmcqa,train,zs_exp,0.48,0.6747088897483384,0.5188929932416554,0.15581589650668304,1000,OLMo
