,question,response,answer,p_true,true_answer,correct
0,What is true about HER2/neu overexpression in Ca breast,"HER2/neu overexpression is a characteristic of some breast cancers that makes them more aggressive.  Monoclonal antibodies specifically target HER2/neu, leading to improved outcomes.

The final answer is C. 
",C,0.9999929519615642,C,True
1,Normal visual acuity of 6/6 is achieved by the age of:,"Normal visual acuity of 6/6, meaning the ability to see at 20 feet what a person with normal vision can see at 20 feet, is typically achieved around **5 years of age**. 

The final answer is C. 
",C,0.9993321324638661,B,False
2,Most common cause of sub arachnoid hemorrhage is -,"The most common cause of subarachnoid hemorrhage is a ruptured berry aneurysm. 

The final answer is A. 
",A,0.999925539897336,B,False
3,Which of the following shows the presence of cholesterol crystals:,"Cholesterol crystals are a characteristic finding in **Aneurysmal cysts**. 

These cysts typically form within the jaw and are filled with a cholesterol-rich fluid.

The final answer is C.",C,0.999528222366626,A,False
4,Antibodies to one of the following infection is not transmitted to child -,"Here's the reasoning:

* **Passive immunity** is the transfer of pre-formed antibodies from mother to child. This provides temporary protection.

* **Measles, Pertussis (whooping cough), and Diphtheria** are all diseases for which maternal antibodies offer protection to infants.  

* **Polio** is primarily transmitted through the fecal-oral route. While maternal antibodies can provide some protection against polio, it's less effective than for the other diseases listed.

The final answer is **D**. 
",,0.9855599820344357,B,
5,Which one of the following is a muscle splitting incision: September 2012,"A muscle-splitting incision divides muscle fibers rather than cutting through them completely.  

* **Lanz incision** is a muscle-splitting incision used for  abdominal surgery.

The other options are:

* **Kocher's incision:** A curved incision made in the abdomen for accessing the gallbladder.
* **Rutherford-Morris incision:** An incision used for accessing the hip joint.
* **Pfannenstiel incision:** A horizontal incision made just above the pubic bone, used for lower abdominal surgery.


The final answer is **D**.",,0.9999007941632235,D,
6,All are cholinergic drugs except,"Here's the reasoning:

* **Cholinergic drugs** work by stimulating the cholinergic nervous system, which uses the neurotransmitter acetylcholine.  

Let's look at the options:

* **Memantine** is an NMDA receptor antagonist, used primarily for Alzheimer's disease. It does not directly stimulate cholinergic activity.
* **Tacrine, Rivastigmine, and Donepezil** are all acetylcholinesterase inhibitors. These drugs prevent the breakdown of acetylcholine, leading to increased acetylcholine levels in the brain. This makes them cholinergic drugs.


The final answer is A. 
",A,0.9999956730660432,A,True
7,"In colposcopy, following are visualized except :","Colposcopy is a procedure that uses a specialized magnifying lens to examine the cervix and surrounding tissues for abnormalities. 

* **A: Upper 2/3rd endocervix:**  This area is usually visible during colposcopy.

* **B: Lower 1/3rd endocervix:** This is also within the scope of a colposcopy.

* **C: Vault of vagina:**  The vault of the vagina is typically not visualized during a standard colposcopy.

* **D: Lateral fornix:** While the lateral fornices might be indirectly visible, they are not the primary focus of a colposcopy.

The final answer is **C**. 


",,0.9998777410138551,A,
8,Burning feet syndrome is due to deficiency of ?,"Burning feet syndrome is most commonly associated with a deficiency of **Vitamin B12**. 

The final answer is C. 
",C,0.9990530616957797,D,False
9,Chemotherapy for Retinoblastoma is,"The standard chemotherapy regimen for retinoblastoma often includes:

* **Vincristine:** A microtubule inhibitor used to disrupt cell division.
* **Etoposide:**  A topoisomerase II inhibitor, also interfering with DNA replication.
* **Cisplatin:** A platinum-based drug that damages DNA.

 
The final answer is **D**. 
",,0.9884594375117852,A,
10,Primary feature of small intestinal obstruction -,"The primary feature of small intestinal obstruction is **C: Abdominal distension**. 

Here's why:

* **Abdominal distension** occurs because the blockage prevents the normal passage of food and fluids through the intestines, leading to a buildup of gas and fluid.

Let's look at the other options:

* **A: Fever** is not a primary feature and might indicate a complication like infection, not the obstruction itself.
* **B: High peristalsis with colic**  describes the body's attempt to overcome the obstruction, but it's not the defining characteristic. Colic is painful cramping, a symptom, not the primary feature.
* **D: Empty rectum**  is possible but not a primary feature. It depends on the location and severity of the obstruction.


The final answer is C. 
",C,0.9999943414242878,B,False
11,Punched out appearance in skull seen in,"The ""punched-out appearance"" in the skull is a characteristic finding associated with **Multiple myeloma**.  

Here's why:

* **Multiple myeloma** is a cancer of plasma cells, which produce antibodies.  These cancerous cells can accumulate in the bone marrow, leading to bone destruction and the characteristic ""punched-out"" lesions seen on X-rays.

Let's look at the other options:

* **Thalassemia** is a blood disorder affecting hemoglobin production, primarily impacting red blood cells.
* **Carcinoma lung** is a type of lung cancer, and while it can cause bone metastases, it doesn't typically present with the distinctive ""punched-out"" appearance.
* **Hyperparathyroidism** causes elevated calcium levels, leading to bone demineralization and softening (osteoporosis), but not the specific pattern seen in multiple myeloma.


The final answer is A. 
",A,0.9999952104579884,A,True
12,Regarding unicornuate uterus true is,"The correct answer is **A: Defect in fusion of mullerian ducts**. 

Here's why:

* **Unicornuate uterus** is a congenital malformation where one of the two mullerian ducts (which develop into the uterus and fallopian tubes) fails to develop properly. This results in a single, underdeveloped uterus with a rudimentary or absent horn on one side.

Let's look at the other options:

* **B: Single uterus with 2 fallopian tubes:** While a unicornuate uterus does have a single uterus, it often has only one functioning fallopian tube.
* **C: One duct is completely absent:** This is a more severe form of uterine malformation,  possibly resulting in complete absence of a uterus.
* **D: Best reproductive outcome:** Unicornuate uterus often presents challenges for pregnancy, including increased risk of miscarriage and preterm birth.  


The final answer is A. 
",A,0.9999945788116267,C,False
13,Characteristic lab findings of hemophilia A are –a) ↑ PTb) ↑ aPTTc) X–linked recessived) Presence of 30% of factor level express the diseasee) Increased bleeding time,"Here's the breakdown:

* **Hemophilia A** is a genetic disorder caused by a deficiency in Factor VIII, a clotting protein.

Let's analyze the options:

* **a) ↑ PT (Prothrombin time)**:  PT is affected by deficiencies in the extrinsic clotting pathway.  Hemophilia A primarily affects the intrinsic pathway. 
* **b) ↑ aPTT (Activated partial thromboplastin time)**: aPTT is prolonged in hemophilia A because of the deficiency in Factor VIII, a key part of the intrinsic pathway.
* **c) X-linked recessive**: This is correct. Hemophilia A is caused by a gene on the X chromosome, and it is inherited in an X-linked recessive pattern.
* **d) Presence of 30% of factor level express the disease**: This is generally true.  People with hemophilia A have significantly reduced Factor VIII levels.

**The final answer is C** 


",C,0.9892375364891581,D,False
14,Intrinsic muscles of the tongue are derived from:,"The intrinsic muscles of the tongue are responsible for fine movements of the tongue, such as shaping it for speech and manipulating food. These muscles develop from the **lingual swellings**, which are derived from the **first pharyngeal arch mesenchyme**.

Therefore, the correct answer is **B**. 

The final answer is B. 
",B,0.9870108632403605,C,False
15,Wave V in BERA corresponds to -,"Wave V in a Brainstem Auditory Evoked Response (BERA) represents the activity of the **auditory cortex**. 

Here's why:

* **BERA** measures the electrical activity in the auditory pathway in response to sound.
* **Wave V** is the last major wave in the BERA and originates from the brainstem's auditory cortex.

The other options are incorrect because:

* **A: Inferior colliculus:**  Responsible for sound localization and processing, but its activity is represented earlier in the BERA (wave III).
* **B: Lateral lemniscus:**  A pathway carrying auditory information, but its activity is represented before Wave V.
* **C: Cochlear nucleus:**  The first auditory processing center in the brainstem, its activity is represented in earlier waves (wave I).
* **D: Eighth-nerve:**  The sensory nerve carrying auditory information from the ear, its activity is represented in the earliest wave (wave I).



The final answer is **A**. 
",,0.0009713741281267204,B,
16,All are true about radiological features of the intestinal obstruction except:,"Let's break down each option:

* **A: The small intestines are said to be dilated if the loops of bowel have a diameter of > 3cm.** This is generally **true**.  Dilated small bowel is a common finding in obstruction.

* **B: The large bowel are said to be dilated if they are >5 cm for distal bowel and > 9 cm for proximal bowel.** This is also **true**.  The larger diameter criteria reflect the anatomical differences in the large bowel.

* **C: Volvulus and mesenteric ischemia have characteristic signs on abdominal films.** This is **true**.  Volvulus often shows a ""coffee bean"" sign, while mesenteric ischemia can present with thickening of the bowel wall and lack of gas.

* **D: The absence of air-fluid levels on plain supine radiographs does not rule out presence of an obstruction.** This is **true**.  While air-fluid levels are suggestive of obstruction, their absence doesn't definitively exclude it. Other imaging modalities might be needed.



The final answer is D 
",D,0.9999832054801855,C,False
17,Mechanism of action of propylthiouracilin hypehyroidism is:,"Propylthiouracil (PTU) is a medication used to treat hyperthyroidism. 

Here's how it works:

* **PTU blocks the organification of iodine.** This is a crucial step in thyroid hormone synthesis where iodine is attached to tyrosine molecules.
* **PTU also inhibits the oxidation of iodine.**  Iodine needs to be oxidized to be able to bind to tyrosine.

**PTU does not directly inhibit the coupling of two DIT residues.** This step occurs later in the thyroid hormone synthesis pathway.


The final answer is **D**. 
",,0.3023987100551037,D,
18,Babes Ernest granules are seen in:,"Babes-Ernst granules are characteristic of bacteria in the genus *Corynebacterium*.  

The bacteria that causes diphtheria is *Corynebacterium diphtheriae*. 

The final answer is B. 
",B,0.9999751419156604,B,True
19,Which of the following is the main stimulator of production of eosinophils?,"Eosinophils are a type of white blood cell involved in allergic reactions and fighting parasites. 

IL-5 (Interleukin-5) is a cytokine that plays a crucial role in the production, differentiation, and activation of eosinophils.

The final answer is B. 
",B,0.9999984605688301,B,True
20,Which of the following is not a sign of active rickets ?,"Here's the reasoning:

* **Rickets** is a bone disease caused by Vitamin D deficiency, leading to soft and weak bones.

Let's analyze each option:

* **A: Prominent fontanelle:**  A prominent fontanelle (soft spot on a baby's head) can be a sign of rickets as the skull bones haven't properly ossified. 
* **B: Hot cross bun sign:** This refers to the characteristic deformity of the ribs in rickets, resembling a hot cross bun. 
* **C: Saddle nose:**  A saddle nose is a depressed nasal bridge, often seen in rickets due to bone deformities.
* **D: Caries teeth:** Caries (tooth decay) is primarily caused by poor oral hygiene and diet, not directly related to rickets.

**The final answer is D** 


",D,0.9999918557563138,C,False
21,A patient presents with postmenopausal bleed. Endometrial biopsy will be done if endometrial thickness is:,"Postmenopausal bleeding is a serious symptom that requires investigation.  Endometrial biopsy is a key diagnostic tool to rule out underlying conditions like endometrial cancer. 

The general guideline is that endometrial biopsy is recommended if the endometrial thickness (measured on an ultrasound) is **at least 5 mm**.  

The final answer is **B**. 


",,0.9997232642796514,B,
22,A 40 year male presents with hematemesis. On examination his BP was 90/60 mmHg and Hea Rate was 120/min. Splenomegaly was also present. The most probable cause of his bleeding is:,"Here's the reasoning:

* **Hematemesis** means vomiting blood. This indicates bleeding within the upper gastrointestinal tract. 
* **Low blood pressure (90/60 mmHg)** and **rapid heart rate (120/min)** suggest significant blood loss (hypovolemic shock).
* **Splenomegaly** (enlarged spleen) is a key finding.  

**The combination of these symptoms strongly points towards a bleeding ulcer, likely in the stomach or duodenum.**

**The final answer is B.** 


Let me know if you have any other medical questions! 
",B,0.9974818267055451,A,False
23,The uvr ABC endonuclease is involved in which one of the following processes?,"The uvr ABC endonuclease is a key player in the **DNA repair** process.  It specifically recognizes and removes damaged sections of DNA, often caused by ultraviolet (UV) radiation. 

The final answer is C. 
",C,0.9999994697984358,C,True
24,"""Brush-fire"" pattern is seen in -","A ""brush-fire"" pattern on the retina is characteristic of **CMV retinitis**.  

Here's why:

* **CMV retinitis** causes inflammation and damage to the retina that spreads outward in a flame-like pattern, resembling a brush fire.

Let me know if you have any other medical questions!

The final answer is A. 
",A,0.9999940480531404,A,True
25,False about Leishmaniasis is,"Here's the breakdown:

* **Leishmaniasis** is a parasitic disease transmitted by sandflies.

Let's analyze each option:

* **A: Aldehyde Test of Napier is a good test for diagnosis** - This statement is **true**. The Aldehyde Test (also known as the Napier Test) is a diagnostic test for cutaneous leishmaniasis.

* **B: Indian Leishmaniasis is a non-zoonotic infection with man as the sole reservoir** - This statement is **false**. Indian Leishmaniasis (also known as visceral leishmaniasis) is zoonotic, meaning it can be transmitted from animals (like dogs) to humans.

* **C: Co-infection with AIDS is now emerging** - This statement is **true**. People with weakened immune systems, including those with AIDS, are more susceptible to severe forms of leishmaniasis.

* **D: There are no drugs for personal prophylaxis** - This statement is **false**.  There are drugs available for personal prophylaxis (prevention) of leishmaniasis, particularly in areas where the disease is endemic.


The final answer is **B**.",,0.9999549534115842,A,
26,Which of the following ranges of hemoglobin O2 saturation from systemic venous to systemic arterial blood represents a normal resting condition?,"Here's the breakdown:

* **Hemoglobin O2 saturation (SaO2)** refers to the percentage of hemoglobin molecules carrying oxygen.

* **Systemic venous blood** is blood returning to the heart from the body's tissues. It has a lower oxygen content as it has delivered oxygen to the tissues.

* **Systemic arterial blood** is blood leaving the heart to be pumped to the body's tissues. It has a higher oxygen content as it has just picked up oxygen from the lungs.

**Normal resting conditions** mean the body is at ease and not under stress.

The normal range for SaO2 is generally **95% to 100%** in arterial blood.  Venous blood will have a lower saturation.

Considering these points, the most accurate answer is **C: 40 to 95%**.


The final answer is C. 
",C,0.04362243916993865,D,False
27,Drug causing fixed drug eruption ?,"Fixed drug eruptions are hypersensitivity reactions characterized by recurring, localized skin lesions that appear in the same area with each exposure to the trigger drug.  

Sulfonamides are a well-known cause of fixed drug eruptions. 

The other options are less commonly associated with this specific type of reaction.


The final answer is A. 
",A,0.9999966068470196,A,True
28,All are seen in chronic calcific pancreatitis except,"Here's the reasoning:

* **Chronic calcific pancreatitis** is a condition where there's ongoing inflammation and calcification (hardening) of the pancreas. This leads to damage to the pancreas and its function.

Let's look at the options:

* **A: Diabetes mellitus:**  Chronic pancreatitis often leads to diabetes because the damaged pancreas can't produce enough insulin. 
* **B: Fat malabsorption:**  The pancreas produces enzymes crucial for digesting fats.  Damage to the pancreas impairs this process, causing fat malabsorption.
* **C: Hypercalcemia:**  Chronic pancreatitis can lead to hypercalcemia (high calcium levels) due to the release of calcium from damaged pancreatic tissue.
* **D: Recurrent abdominal pain:**  This is a hallmark symptom of chronic pancreatitis, caused by inflammation and spasms in the pancreas.

**The final answer is C** 


",C,0.9966111543235919,C,True
29,The hyaline membrane in the lung is seen in -,"Hyaline membranes are a hallmark of Respiratory Distress Syndrome (RDS), a condition primarily affecting premature infants where their lungs lack sufficient surfactant, leading to collapsed alveoli and difficulty breathing. 

The other options are incorrect:

* **Pulmonary edema** is characterized by fluid buildup in the lungs, not hyaline membrane formation.
* **Pneumococcal Pneumonia** is an infection causing inflammation and fluid in the air sacs, not hyaline membranes.
* **Acute viral hepatitis** is a liver inflammation and has no direct relationship to lung hyaline membranes.


The final answer is A. 
",A,0.9999988863018882,A,True
30,Triad of Wernicke's encehalopathy is all except,"Wernicke's encephalopathy is a brain disorder caused by a deficiency of thiamine (vitamin B1).  

The classic triad of symptoms is:

* **Global confusion:**  A severe disturbance in mental state.
* **Ophthalmoplegia:**  Paralysis or weakness of the eye muscles, leading to difficulties with eye movements.
* **Ataxia:**  Loss of coordination and balance.

**Hemiparesis** (weakness on one side of the body) is not a typical symptom of Wernicke's encephalopathy. 

The final answer is D. 
",D,0.999996632135567,D,True
