,question,response,answer,p_true,true_answer,correct
0,Normal visual acuity of 6/6 is achieved by the age of:,The final answer is C.,C,0.06674577983058085,B,False
1,Most common cause of sub arachnoid hemorrhage is -,The final answer is A.,A,0.9998748726716672,B,False
2,"In colposcopy, following are visualized except :",The final answer is A.,A,0.032007690348516,A,True
3,Mechanism of action of propylthiouracilin hypehyroidism is:,The final answer is D.,D,0.8326333643722557,D,True
4,Primary feature of small intestinal obstruction -,"The primary feature of small intestinal obstruction is abdominal distension due to accumulation of fluid and gas in the small intestine. This is because the intestine is blocked and cannot move food and fluid through, causing a buildup.

The final answer is C.",C,0.9931487934379457,B,False
5,Intrinsic muscles of the tongue are derived from:,"The intrinsic muscles of the tongue are derived from the occipital somites. These muscles are responsible for the movement of the tongue within its own body, rather than moving the tongue as a whole. The correct answer is:

The final answer is C.",C,0.9734332397219327,C,True
6,Regarding unicornuate uterus true is,"The correct answer is C: One duct is completely absent.

Unicornuate uterus is a type of Müllerian duct anomaly where one of the paired Müllerian ducts fails to develop, resulting in a single, rudimentary uterine horn. This condition occurs when one of the ducts is completely absent, while the other duct develops normally.

The final answer is C.",C,0.5472721317922392,C,True
7,Punched out appearance in skull seen in,"The correct answer is A: Multiple myeloma.

Multiple myeloma is a type of bone marrow cancer that can cause the formation of lytic lesions in the skull, which can give a ""punched out"" appearance on radiographs. This is due to the destruction of the bone tissue by the cancer cells, resulting in well-defined, sharply marginated lesions.

The final answer is A.",A,0.9998052549266815,A,True
8,Antibodies to one of the following infection is not transmitted to child -,"The correct answer is D. Polio.

This is because antibodies to poliovirus are not transferred from mother to child in significant amounts, unlike with other infections such as measles, pertussis, and diphtheria. This is why polio vaccination is recommended for infants, starting at 6 weeks of age, to ensure they have adequate protection against the virus.

The final answer is D.",D,0.523378594931596,B,False
9,Burning feet syndrome is due to deficiency of ?,"The correct answer is A: Niacin.

Burning feet syndrome is a condition characterized by a burning sensation in the feet, often accompanied by numbness, tingling, and fatigue. This condition is typically associated with a deficiency of niacin (vitamin B3), which is essential for energy production and maintaining healthy skin, nerves, and mucous membranes.

The final answer is A.",A,0.9629631573787657,D,False
10,Which of the following is the main stimulator of production of eosinophils?,The final answer is B.,B,0.9996583197608598,B,True
11,Babes Ernest granules are seen in:,"The Babes-Ernst bodies are characteristic inclusions seen in the cytoplasm of infected cells in the case of diphtheria. These are needle-like structures. Therefore, the correct answer is B.

The final answer is B.",B,0.30676063420160427,B,True
12,False about Leishmaniasis is,"The correct answer is B.

Explanation: Indian Leishmaniasis (Visceral Leishmaniasis) is a zoonotic infection, meaning it can be transmitted between animals and humans. The reservoir of the parasite is not only humans, but also other animals such as dogs, rodents, and monkeys. Therefore, option B is incorrect.

Option A is incorrect because the Aldehyde Test of Napier is a test used to diagnose Leishmaniasis, but it is not a reliable or specific test.

Option C is correct because co-infection with HIV/AIDS is now emerging and can exacerbate the symptoms and complications of Leishmaniasis.

Option D is correct because there are no effective drugs for personal prophylaxis (preventive treatment) against Leishmaniasis.

The final answer is B.",B,0.10956269566233443,A,False
13,Which of the following is not found in DiGeorge's syndrome?,"DiGeorge's syndrome is a condition characterized by the underdevelopment or absence of the thymus and parathyroid glands, leading to impaired immune function and calcium metabolism. The correct answer is D, as the condition is actually associated with the absence of B cells, not T cells. T cells are typically present in DiGeorge's syndrome, but B cells are often absent or impaired due to the thymic hypoplasia.

The final answer is D.",D,0.07989871733978376,B,False
